CustomerID,Channel,Time_Of_Day,Day_Of_Week,Campaign_Id,Product_LOB,Conversion_Flag,Source,Time_Stamp,Comm_Id
ID00000003,Call,Afternoon,5,4,Tv,yes,Inbound call,2014-09-19,6
ID00000012,Call,Morning,7,4,Tv,yes,SMS,2014-10-08,4
ID00000031,Email,Evening,5,3,Tv,yes,SMS,2014-06-27,6
ID00000037,Call,Morning,1,5,Electronic,yes,Previous Campaign,2014-05-11,5
ID00000038,Email,Morning,7,4,Tv,yes,SMS,2014-11-09,6
ID00000066,Call,Morning,1,3,Tv,yes,Previous Campaign,2014-05-29,4
ID00000070,Call,Afternoon,2,4,Tv,yes,Previous Campaign,2014-07-30,6
ID00000074,Call,Evening,6,2,Computer,yes,Previous Campaign,2014-05-04,5
ID00000089,SMS,Afternoon,2,5,Electronic,yes,SMS,2014-09-11,4
ID00000090,SMS,Morning,3,3,Tv,yes,Previous Campaign,2014-06-19,6
ID00000099,SMS,Morning,2,2,Computer,yes,Previous Campaign,2014-01-05,6
ID00000104,Email,Evening,3,3,Tv,yes,Inbound call,2014-06-13,6
ID00000118,Email,Morning,2,2,Computer,yes,Previous Campaign,2014-05-04,5
ID00000122,Call,Morning,2,6,Computer,yes,Inbound call,2014-12-30,5
ID00000128,Call,Afternoon,4,3,Tv,yes,Inbound call,2014-05-26,4
ID00000133,Call,Afternoon,4,5,Electronic,yes,Previous Campaign,2014-11-28,5
ID00000145,Call,Morning,7,6,Computer,yes,Inbound call,2014-12-25,6
ID00000146,SMS,Afternoon,3,3,Tv,yes,Previous Campaign,2014-06-28,4
ID00000168,SMS,Afternoon,2,6,Computer,yes,Previous Campaign,2014-11-12,5
ID00000182,Call,Morning,2,3,Tv,yes,SMS,2014-05-25,5
ID00000196,SMS,Evening,4,6,Computer,yes,Previous Campaign,2014-12-31,6
ID00000224,SMS,Morning,4,6,Computer,yes,SMS,2014-12-24,4
ID00000232,Email,Morning,6,3,Tv,yes,Inbound call,2014-06-24,6
ID00000237,SMS,Morning,4,6,Computer,yes,Inbound call,2014-12-31,4
ID00000242,Email,Morning,4,3,Tv,yes,Inbound call,2014-06-16,4
ID00000243,Call,Morning,4,5,Electronic,yes,SMS,2014-05-10,4
ID00000274,Call,Afternoon,4,2,Computer,yes,Inbound call,2014-05-24,6
ID00000280,SMS,Afternoon,7,2,Computer,yes,Inbound call,2014-07-04,4
ID00000284,SMS,Evening,2,3,Tv,yes,Previous Campaign,2014-05-26,6
ID00000285,SMS,Morning,6,4,Tv,yes,Inbound call,2014-06-09,5
ID00000289,Email,Evening,3,5,Electronic,yes,SMS,2014-10-30,4
ID00000292,SMS,Morning,3,2,Computer,yes,SMS,2014-03-27,4
ID00000308,SMS,Evening,6,3,Tv,yes,SMS,2014-06-26,6
ID00000314,SMS,Evening,7,3,Tv,yes,Inbound call,2014-06-18,5
ID00000321,Call,Afternoon,7,4,Tv,yes,Inbound call,2014-12-09,4
ID00000322,Call,Afternoon,6,5,Electronic,yes,Previous Campaign,2014-11-26,5
ID00000329,Call,Afternoon,5,6,Computer,yes,SMS,2014-12-12,5
ID00000335,SMS,Evening,3,4,Tv,yes,SMS,2014-07-26,4
ID00000341,SMS,Evening,3,4,Tv,yes,SMS,2014-07-25,6
ID00000361,Email,Afternoon,5,4,Tv,yes,SMS,2014-07-27,4
ID00000364,SMS,Morning,4,5,Electronic,yes,SMS,2014-11-28,4
ID00000367,Call,Morning,2,5,Electronic,yes,Previous Campaign,2014-10-27,4
ID00000368,Call,Morning,3,5,Electronic,yes,Inbound call,2014-12-11,6
ID00000379,Email,Afternoon,4,3,Tv,yes,Inbound call,2014-02-06,5
ID00000382,SMS,Afternoon,2,5,Electronic,yes,SMS,2014-11-24,4
ID00000411,Email,Evening,4,3,Tv,yes,SMS,2014-06-24,4
ID00000422,Email,Evening,6,5,Electronic,yes,SMS,2014-11-24,6
ID00000426,SMS,Afternoon,2,2,Computer,yes,Inbound call,2014-05-13,5
ID00000432,Email,Morning,3,4,Tv,yes,SMS,2014-09-19,4
ID00000452,Email,Evening,2,6,Computer,yes,Inbound call,2014-12-30,6
ID00000459,Email,Evening,5,5,Electronic,yes,SMS,2014-11-29,4
ID00000468,SMS,Evening,5,5,Electronic,yes,Inbound call,2014-10-28,6
ID00000494,Call,Afternoon,5,3,Tv,yes,Previous Campaign,2014-05-28,6
ID00000508,SMS,Afternoon,7,5,Electronic,yes,SMS,2014-11-17,5
ID00000526,Email,Morning,2,2,Computer,yes,Inbound call,2014-03-05,6
ID00000528,Call,Morning,7,6,Computer,yes,Inbound call,2014-11-12,5
ID00000533,Call,Afternoon,7,5,Electronic,yes,Previous Campaign,2014-11-19,4
ID00000540,Call,Evening,1,2,Computer,yes,SMS,2014-03-25,5
ID00000557,Call,Evening,5,4,Tv,yes,Previous Campaign,2014-08-16,6
ID00000581,SMS,Afternoon,3,5,Electronic,yes,Inbound call,2014-10-28,5
ID00000587,Email,Morning,7,6,Computer,yes,SMS,2014-12-18,6
ID00000595,SMS,Afternoon,3,6,Computer,yes,SMS,2014-12-17,4
ID00000603,SMS,Evening,2,4,Tv,yes,Inbound call,2014-08-23,4
ID00000604,Call,Morning,7,4,Tv,yes,Previous Campaign,2014-07-30,5
ID00000607,Call,Afternoon,5,4,Tv,yes,SMS,2014-08-27,4
ID00000617,Call,Morning,2,6,Computer,yes,SMS,2014-12-20,4
ID00000627,Call,Morning,6,3,Tv,yes,SMS,2014-09-06,6
